magaza,tarih,karar,onerilen_aksiyon,fire_gun_karsiligi,fire_riski_birim,stoksuz_p90_bugun,aciliyet,onay_gerekli_mi,magaza_kapali,miktar,indirim_orani,fire_gercek,stoksuz_gercek
1,2015-07-04,siparis_ver,,0.0,0.0,0.0,orta,True,False,89,0.0,0.0,0.0
1,2015-07-06,indirim_uygula,,0.7,81.8,0.0,kritik,True,False,0,0.5,76.52499837614596,0.0
1,2015-07-07,bekle,,0.0,0.0,107.2,kritik,False,False,0,0.0,0.0,91.25000135973096
1,2015-07-08,siparis_ver,,0.0,0.0,106.2,kritik,True,False,138,0.0,0.0,94.92500141449273
1,2015-07-09,siparis_ver,,0.0,0.0,17.1,yuksek,True,False,123,0.0,0.0,8.206701586022973
1,2015-07-10,siparis_ver,,0.0,0.0,0.0,orta,True,False,116,0.0,0.0,0.0
1,2015-07-11,siparis_ver,,0.0,0.0,30.4,yuksek,True,False,112,0.0,0.0,0.0
1,2015-07-13,bekle,,0.0,0.0,24.7,yuksek,False,False,0,0.0,0.0,0.0
1,2015-07-14,bekle,,0.0,0.0,20.8,yuksek,False,False,0,0.0,0.0,0.0
1,2015-07-15,siparis_ver,,0.0,0.0,19.6,yuksek,True,False,94,0.0,0.0,0.0
1,2015-07-16,siparis_ver,,0.0,0.0,19.0,yuksek,True,False,87,0.0,0.0,0.0
1,2015-07-17,siparis_ver,,0.0,0.0,0.0,orta,True,False,85,0.0,0.0,0.0
1,2015-07-18,siparis_ver,,0.0,0.0,32.0,yuksek,True,False,85,0.0,0.0,8.74993160739541
1,2015-07-20,bekle,,0.0,0.0,16.8,yuksek,False,False,0,0.0,0.0,16.252992359921336
1,2015-07-21,bekle,,0.0,0.0,14.2,yuksek,False,False,0,0.0,0.0,2.092754926532507
1,2015-07-22,siparis_ver,,0.0,0.0,15.1,yuksek,True,False,131,0.0,0.0,1.2304715663194656
1,2015-07-23,siparis_ver,,0.0,0.0,14.8,yuksek,True,False,116,0.0,0.0,9.185519287362695
1,2015-07-24,siparis_ver,,0.0,0.0,0.0,orta,True,False,125,0.0,0.0,0.0
1,2015-07-25,siparis_ver,,0.0,0.0,28.9,yuksek,True,False,130,0.0,0.0,6.050570633262396
1,2015-07-27,bekle,,0.0,0.0,25.9,yuksek,False,False,0,0.0,0.0,21.365569289773703
1,2015-07-28,bekle,,0.0,0.0,23.2,yuksek,False,False,0,0.0,0.0,8.743095738813281
1,2015-07-29,bekle,,0.0,0.0,29.4,yuksek,False,False,0,0.0,0.0,0.0
1,2015-07-30,bekle,,0.0,0.0,32.1,yuksek,False,False,0,0.0,0.0,0.0
1,2015-07-31,bekle,,0.0,0.0,27.9,yuksek,False,False,0,0.0,0.0,0.0
2,2015-07-04,siparis_ver,,0.0,0.0,81.9,yuksek,True,False,222,0.0,0.0,88.4750016670674
2,2015-07-06,siparis_ver,,0.0,0.0,0.0,orta,True,False,219,0.0,0.0,0.0
2,2015-07-07,bekle,,0.0,0.0,40.4,yuksek,False,False,0,0.0,0.0,0.0
2,2015-07-08,siparis_ver,,0.0,0.0,0.0,orta,True,False,177,0.0,0.0,0.0
2,2015-07-09,bekle,,0.0,0.0,41.4,yuksek,False,False,0,0.0,0.0,18.29307927750051
2,2015-07-10,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0,0.0,0.0
2,2015-07-11,siparis_ver,,0.0,0.0,31.6,yuksek,True,False,314,0.0,0.0,0.0
2,2015-07-13,siparis_ver,,0.0,0.0,0.0,orta,True,False,283,0.0,0.0,0.0
2,2015-07-14,bekle,,0.0,0.0,83.5,yuksek,False,False,0,0.0,0.0,10.975810505449772
2,2015-07-15,siparis_ver,,0.0,0.0,0.0,orta,True,False,191,0.0,0.0,0.0
2,2015-07-16,bekle,,0.0,0.0,47.3,yuksek,False,False,0,0.0,0.0,3.6389080807566643
2,2015-07-17,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0,0.0,0.0
2,2015-07-18,siparis_ver,,0.0,0.0,35.5,yuksek,True,False,206,0.0,0.0,7.664797877892852
2,2015-07-20,siparis_ver,,0.0,0.0,0.0,orta,True,False,196,0.0,0.0,0.0
2,2015-07-21,bekle,,0.0,0.0,36.8,yuksek,False,False,0,0.0,0.0,1.2283569630235434
2,2015-07-22,siparis_ver,,0.0,0.0,0.0,orta,True,False,156,0.0,0.0,0.0
2,2015-07-23,bekle,,0.0,0.0,36.0,yuksek,False,False,0,0.0,0.0,34.28524207510054
2,2015-07-24,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0,0.0,0.0
2,2015-07-25,siparis_ver,,0.0,0.0,29.8,yuksek,True,False,307,0.0,0.0,3.117531668394804
2,2015-07-27,siparis_ver,,0.0,0.0,0.0,orta,True,False,281,0.0,0.0,0.0
2,2015-07-28,bekle,,0.0,0.0,53.1,yuksek,False,False,0,0.0,0.0,0.013816837221384048
2,2015-07-29,siparis_ver,,0.0,0.0,0.0,orta,True,False,135,0.0,0.0,0.0
2,2015-07-30,bekle,,0.0,0.0,51.9,yuksek,False,False,0,0.0,0.0,18.33395221270621
2,2015-07-31,bekle,,0.0,0.0,28.7,yuksek,False,False,0,0.0,0.0,16.54783245921135
3,2015-07-04,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0,0.0,0.0
3,2015-07-06,insana_sor,indirim_uygula (%50 indirim) + siparis_ver (283 adet),0.92,152.3,0.0,kritik,True,False,0,0.0,159.04999582096934,0.0
3,2015-07-07,bekle,,0.0,0.0,164.7,kritik,False,False,0,0.0,0.0,154.5000023022294
3,2015-07-08,siparis_ver,,0.0,0.0,0.0,orta,False,False,250,0.0,0.0,0.0
3,2015-07-09,bekle,,0.0,0.0,56.6,yuksek,False,False,0,0.0,0.0,40.86603266000748
3,2015-07-10,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0,0.0,0.0
3,2015-07-11,siparis_ver,,0.0,0.0,45.2,yuksek,False,False,437,0.0,0.0,7.645783266052604
3,2015-07-13,siparis_ver,,0.0,0.0,0.0,orta,False,False,395,0.0,0.0,0.0
3,2015-07-14,bekle,,0.0,0.0,127.0,yuksek,False,False,0,0.0,0.0,15.553333153948188
3,2015-07-15,siparis_ver,,0.0,0.0,0.0,orta,False,False,276,0.0,0.0,0.0
3,2015-07-16,bekle,,0.0,0.0,66.3,yuksek,False,False,0,0.0,0.0,19.572985909879208
3,2015-07-17,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0,0.0,0.0
3,2015-07-18,siparis_ver,,0.0,0.0,51.1,yuksek,False,False,275,0.0,0.0,0.0
