epoch,train_loss,val_loss
1,0.03209145367145538,0.01549574825912714
2,0.016757139936089516,0.015251277014613152
3,0.01639779470860958,0.014497756958007812
4,0.015952985733747482,0.013833202421665192
5,0.015364259481430054,0.0131492018699646
6,0.014718827791512012,0.012446807697415352
7,0.014081024564802647,0.01171714998781681
8,0.013477993197739124,0.010984976775944233
9,0.01292218267917633,0.01029862929135561
10,0.012438846752047539,0.009688650257885456
11,0.012040408328175545,0.009168663993477821
12,0.011711016297340393,0.00885216984897852
13,0.011446770280599594,0.008397876285016537
14,0.01130649819970131,0.008153293281793594
15,0.011180886067450047,0.007961198687553406
16,0.011095693334937096,0.007822824642062187
17,0.011041419580578804,0.0077217333018779755
18,0.011003353632986546,0.007628914434462786
19,0.010973350144922733,0.007561777252703905
20,0.010952270589768887,0.007518322207033634
21,0.010928510688245296,0.007488096132874489
22,0.0109077338129282,0.007439617998898029
23,0.010884786024689674,0.00738501688465476
24,0.010859447531402111,0.007332616485655308
25,0.010834483429789543,0.007289321161806583
26,0.010812738910317421,0.007249155547469854
27,0.010787657462060452,0.007192766293883324
28,0.01074906624853611,0.0071374098770320415
29,0.01070959959179163,0.007095906417816877
30,0.010700172744691372,0.007099159527570009
31,0.010682012885808945,0.007066031452268362
32,0.010642150416970253,0.006997210904955864
33,0.010611360892653465,0.006950603798031807
34,0.010572140105068684,0.006901525892317295
35,0.010511733591556549,0.006840907037258148
36,0.010446447879076004,0.006968952715396881
37,0.010371490381658077,0.0069836522452533245
38,0.010332931764423847,0.0071335104294121265
39,0.010254449211061,0.007070915307849646
40,0.010212745517492294,0.007036156952381134
41,0.01013222336769104,0.0069700912572443485
42,0.010097147896885872,0.00701123708859086
43,0.010028732940554619,0.006963676773011684
44,0.00998825952410698,0.006948499940335751
45,0.009938155300915241,0.006927282549440861
