epoch,train_loss,val_loss
1,0.9743320941925049,0.039657317101955414
2,0.04804563522338867,0.01771809533238411
3,0.03977452591061592,0.01964499242603779
4,0.034662093967199326,0.06773217767477036
5,0.02851579152047634,0.0369679294526577
6,0.025634193792939186,0.08023004233837128
7,0.023549431934952736,0.0899922326207161
8,0.02563021145761013,0.08209206908941269
9,0.021826809272170067,0.10067731887102127
10,0.020554715767502785,0.15700776875019073
11,0.01938936673104763,0.30264177918434143
12,0.019371556118130684,0.013075067661702633
13,0.016895033419132233,0.3137635886669159
14,0.0177179966121912,0.027361221611499786
15,0.01573415845632553,0.021721700206398964
16,0.017619773745536804,0.022531479597091675
17,0.016468949615955353,0.045608870685100555
18,0.015717508271336555,0.04798973724246025
19,0.014862465672194958,0.037818752229213715
20,0.014219318516552448,0.00800721999257803
21,0.016210287809371948,0.16371652483940125
22,0.014923011884093285,0.01154850423336029
23,0.015355956740677357,0.21640068292617798
24,0.01465686783194542,0.08489758521318436
25,0.014922760426998138,0.010370591655373573
26,0.015803370624780655,0.10697580873966217
27,0.01363611314445734,0.029187176376581192
28,0.01409265585243702,0.04850019887089729
29,0.013392966240644455,0.013557588681578636
30,0.012879039160907269,0.137070894241333
31,0.014166886918246746,0.022436315193772316
32,0.013580486178398132,0.26053059101104736
